time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
267,0.820664,29.907227,0.818433,476.074219,0.494893,23.193359,1.042979,98.266602,1.794208,1.853943,0.835721,71.716309,0.492940,23.193359,1.042472,0.097656,3.289036,0.762939,3.288200,4.241943,3.285252,19.416809,0.834131,133.056641,1.787451,91.369629,1.793332,1.525879,1.793429,0.549316,1.790890,0.112915,823.944976,844.124238,117.294545
275,0.815555,75.073242,0.814463,488.891602,0.495500,11.291504,1.042130,36.621094,1.796365,3.784180,0.837763,62.866211,0.504302,10.070801,1.046897,-0.024414,3.291975,0.671387,3.295937,5.004883,3.288005,19.859314,0.839506,132.751465,1.792862,90.576172,1.797131,2.593994,1.798764,0.915527,1.793372,0.255432,856.722183,881.736714,50.556657
282,0.817404,95.825195,0.814603,460.815430,0.497438,12.817383,1.041141,37.841797,1.795367,5.058289,0.834873,58.898926,0.498955,7.629395,1.048264,0.366211,3.287672,-0.244141,3.289323,2.777100,3.278978,19.233704,0.832200,130.920410,1.786978,91.064453,1.793387,0.976562,1.793460,0.244141,1.792911,0.106201,842.012651,852.533986,54.856000
290,0.815521,81.787109,0.812024,488.281250,0.494072,7.629395,1.035355,30.517578,1.794382,1.419067,0.836078,36.010742,0.495982,11.901855,1.046888,0.012207,3.290550,0.274658,3.289134,4.669189,3.279796,19.630432,0.833170,131.530762,1.787442,91.552734,1.792419,0.885010,1.789572,0.061035,1.787472,0.112915,837.037331,854.994233,37.912350
297,0.814987,90.942383,0.814124,458.984375,0.494041,10.681152,1.042634,35.095215,1.795282,2.830505,0.836054,38.452148,0.498946,8.544922,1.042957,0.109863,3.292549,-0.183105,3.289784,3.051758,3.282893,19.210815,0.832181,132.751465,1.791870,90.881348,1.798672,1.831055,1.796887,0.152588,1.797244,0.112305,820.902849,833.907241,46.949940
305,0.816461,89.111328,0.816751,421.752930,0.499959,4.882812,1.043146,32.653809,1.799533,1.968384,0.839863,48.217773,0.502895,4.272461,1.047312,0.268555,3.286107,0.762939,3.291109,4.455566,3.282847,19.325256,0.832166,134.277344,1.792767,92.468262,1.794202,2.593994,1.793899,0.732422,1.793832,0.111694,801.306770,824.445663,40.046080
312,0.815491,87.890625,0.813874,411.376953,0.498494,4.882812,1.043519,93.078613,1.792715,1.922607,0.834321,65.307617,0.495549,6.408691,1.042890,0.378418,3.282701,0.640869,3.287712,4.241943,3.277711,19.958496,0.830237,131.835938,1.792273,92.590332,1.796106,3.082275,1.796756,1.464844,1.794205,0.172119,805.670045,829.888174,103.010018
320,0.815695,46.997070,0.817441,479.125977,0.499956,5.187988,1.041004,100.402832,1.788342,1.869202,0.829957,62.255859,0.499385,13.427734,1.040400,0.573730,3.295445,0.152588,3.298955,4.119873,3.283113,19.882202,0.837559,132.141113,1.789398,91.491699,1.793408,0.762939,1.796915,-0.122070,1.791403,0.110474,828.829150,844.072182,110.456292
328,0.817505,75.683594,0.821372,474.243164,0.501381,9.155273,1.039249,80.566406,1.789523,2.578735,0.836832,58.288574,0.500929,5.493164,1.046299,0.415039,3.286174,0.091553,3.291203,3.509521,3.282298,19.477844,0.838022,134.582520,1.790381,91.369629,1.796591,3.112793,1.799698,1.342773,1.793167,0.178223,843.986675,863.847084,92.933565
335,0.818894,90.942383,0.818534,455.932617,0.505299,7.934570,1.047434,43.334961,1.792975,1.274109,0.833564,43.334961,0.494029,11.901855,1.041938,0.280762,3.290578,0.000000,3.293581,4.150391,3.282710,19.668579,0.835566,136.108398,1.792285,92.346191,1.794803,1.464844,1.795370,0.671387,1.797217,0.115051,833.974421,851.478560,51.684299
