time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
261,0.818885,92.773438,0.869831,645.751953,0.496489,10.070801,1.042557,42.724609,1.795700,1.785278,0.837736,65.612793,0.496968,10.986328,1.042921,0.256348,3.291048,0.183105,3.286265,4.058838,3.279802,19.615173,0.832612,138.549805,1.786374,93.383789,1.792413,0.946045,1.792984,0.122070,1.791876,0.112000,1045.070556,1060.926156,52.748724
268,0.819605,46.386719,0.869383,637.817383,0.498476,6.713867,1.042597,38.757324,1.798578,3.135681,0.834028,94.604492,0.499419,10.070801,1.041981,0.109863,3.288652,-0.274658,3.290257,3.204346,3.280473,19.157410,0.831681,133.972168,1.790805,92.651367,1.795755,1.708984,1.793964,0.091553,1.788901,0.116577,1016.969558,1029.842583,49.394739
275,0.815457,94.604492,0.862001,649.414062,0.493034,13.732910,1.036066,57.067871,1.793539,2.304077,0.835044,90.637207,0.499959,4.882812,1.041892,0.463867,3.287156,0.030518,3.292311,2.197266,3.283372,19.233704,0.834101,136.108398,1.785022,91.125488,1.791327,2.044678,1.790964,0.793457,1.789014,0.251770,1055.342685,1067.760821,70.029342
282,0.816950,89.111328,0.864393,659.179688,0.494139,0.915527,1.040208,33.569336,1.789984,2.647400,0.835050,90.026855,0.499986,2.136230,1.042869,0.463867,3.289613,-0.122070,3.290285,2.929688,3.284395,19.119263,0.836527,137.634277,1.789349,92.468262,1.792721,2.746582,1.796744,1.586914,1.792920,0.105286,1062.895416,1079.908492,40.110277
289,0.820548,53.100586,0.869151,684.204102,0.498497,4.577637,1.044047,40.283203,1.793027,2.365112,0.835267,263.671875,0.497942,11.291504,1.046854,0.146484,3.289549,0.518799,3.291655,3.875732,3.286641,19.607544,0.838450,140.686035,1.793744,92.468262,1.795767,1.586914,1.792438,0.701904,1.790390,0.114136,1212.730208,1231.302243,48.580193
296,0.821430,72.021484,0.867762,668.945312,0.503352,7.324219,1.044675,75.073242,1.801373,2.250671,0.840363,95.825195,0.501878,8.239746,1.047416,-0.146484,3.292058,-0.152588,3.294575,3.967285,3.284856,19.187927,0.834543,140.686035,1.788306,93.811035,1.795691,2.349854,1.794818,1.312256,1.796603,0.127563,1072.586158,1091.729221,86.168130
303,0.822342,84.838867,0.869682,675.659180,0.500407,8.850098,1.047059,32.043457,1.794415,2.555847,0.840415,90.637207,0.498503,3.967285,1.045829,0.341797,3.287620,0.274658,3.291640,4.028320,3.285713,19.485474,0.832605,139.160156,1.789831,92.590332,1.794809,1.403809,1.794940,0.091553,1.793845,0.110474,1081.691634,1098.538284,42.566290
311,0.816522,76.904297,0.859681,625.000000,0.499413,10.681152,1.040220,81.176758,1.791537,2.426147,0.833524,96.130371,0.498915,11.596680,1.043006,-0.085449,3.295448,0.122070,3.291676,3.662109,3.285344,19.187927,0.831656,136.413574,1.794186,93.383789,1.797290,1.007080,1.797372,0.183105,1.792758,0.121460,1030.172240,1044.768118,94.122501
318,0.816117,60.424805,0.862611,625.000000,0.498924,10.681152,1.040467,56.457520,1.788373,1.792908,0.829688,89.111328,0.494591,4.577637,1.042914,0.280762,3.286119,0.640869,3.289116,4.852295,3.277275,19.828796,0.833603,137.023926,1.790890,90.942383,1.791437,0.946045,1.795428,0.091553,1.789090,0.146484,1007.274889,1027.199777,67.277655
325,0.818912,87.280273,0.865287,675.659180,0.500948,3.662109,1.044157,29.296875,1.799637,1.708984,0.838096,78.430176,0.502882,5.493164,1.045524,-0.390625,3.294969,0.030518,3.291594,4.486084,3.288692,19.363403,0.842387,137.634277,1.788855,92.590332,1.796124,2.899170,1.793332,1.525879,1.793347,0.111389,1069.652127,1092.462724,35.500600
333,0.817417,93.383789,0.867451,633.544922,0.496498,9.155273,1.039585,46.997070,1.799451,2.174377,0.839887,94.604492,0.503835,7.934570,1.047294,0.341797,3.291096,-0.305176,3.293651,3.448486,3.284358,19.210815,0.840439,137.023926,1.790323,92.529297,1.798697,1.586914,1.797339,0.518799,1.796237,0.115356,1053.835455,1067.976037,57.315708
341,0.821323,93.383789,0.867405,642.700195,0.500417,7.934570,1.045890,51.269531,1.794449,4.913330,0.835474,96.435547,0.497523,4.272461,1.041999,0.036621,3.284736,-0.183105,3.289262,3.387451,3.284306,19.340515,0.834107,135.498047,1.786392,93.017578,1.793680,2.929688,1.788971,1.190186,1.789322,0.123291,1059.839508,1077.764398,66.409599
